Date,Price
1/1/2005,570
2/1/2005,570
3/1/2005,610
4/1/2005,600
5/1/2005,570
6/1/2005,590
7/1/2005,650
8/1/2005,650
9/1/2005,700
10/1/2005,670
11/1/2005,600
12/1/2005,580
1/1/2006,610
2/1/2006,640
3/1/2006,640
4/1/2006,760
5/1/2006,820
6/1/2006,820
7/1/2006,850
8/1/2006,850
9/1/2006,750
10/1/2006,650
11/1/2006,620
12/1/2006,620
1/1/2007,640
2/1/2007,640
3/1/2007,640
4/1/2007,680
5/1/2007,680
6/1/2007,710
7/1/2007,710
8/1/2007,690
9/1/2007,690
10/1/2007,660
11/1/2007,660
12/1/2007,680
1/1/2008,670
2/1/2008,670
3/1/2008,690
4/1/2008,710
5/1/2008,720
6/1/2008,760
7/1/2008,810
8/1/2008,810
9/1/2008,810
10/1/2008,810
11/1/2008,720
12/1/2008,570
1/1/2009,490
2/1/2009,460
3/1/2009,460
4/1/2009,490
5/1/2009,520
6/1/2009,550
7/1/2009,650
8/1/2009,650
9/1/2009,630
10/1/2009,630
11/1/2009,620
12/1/2009,620
1/1/2010,590
2/1/2010,690
3/1/2010,710
4/1/2010,720
5/1/2010,740
6/1/2010,770
7/1/2010,770
8/1/2010,770
9/1/2010,770
10/1/2010,715
11/1/2010,715
12/1/2010,730
1/1/2011,730
2/1/2011,870
3/1/2011,920
4/1/2011,930
5/1/2011,930
6/1/2011,930
7/1/2011,930
8/1/2011,930
9/1/2011,950
10/1/2011,930
11/1/2011,900
12/1/2011,880
1/1/2012,880
2/1/2012,950
3/1/2012,1020
4/1/2012,1030
5/1/2012,1030
6/1/2012,1030
7/1/2012,1060
8/1/2012,1060
9/1/2012,1110
10/1/2012,1160
11/1/2012,1160
12/1/2012,"1,130"
1/1/2013,1120
2/1/2013,1100
3/1/2013,1080
4/1/2013,1040
5/1/2013,1000
6/1/2013,1000
7/1/2013,980
8/1/2013,980
9/1/2013,980
10/1/2013,980
11/1/2013,940
12/1/2013,890
1/1/2014,870
2/1/2014,890
3/1/2014,910
4/1/2014,910
5/1/2014,970
6/1/2014,970
7/1/2014,940
8/1/2014,940
9/1/2014,950
10/1/2014,950
11/1/2014,940
12/1/2014,940
1/1/2015,860
2/1/2015,710
3/1/2015,640
4/1/2015,680
5/1/2015,740
6/1/2015,770
7/1/2015,780
8/1/2015,780
9/1/2015,760
10/1/2015,710
11/1/2015,700
12/1/2015,660
1/1/2016,640
2/1/2016,6400
3/1/2016,600
4/1/2016,590
5/1/2016,640
6/1/2016,650
7/1/2016,660
8/1/2016,640
9/1/2016,640
10/1/2016,620
11/1/2016,610
12/1/2016,610
1/1/2017,620
2/1/2017,670
3/1/2017,720
4/1/2017,720
5/1/2017,720
6/1/2017,720
7/1/2017,720
8/1/2017,720
9/1/2017,705
10/1/2017,690
11/1/2017,690
12/1/2017,690
1/1/2018,690
2/1/2018,690
3/1/2018,690
4/1/2018,682.5
5/1/2018,720
6/1/2018,780
7/1/2018,
8/1/2018,780
9/1/2018,830
10/1/2018,830
11/1/2018,810
12/1/2018,810
1/1/2019,810
2/1/2019,740
3/1/2019,720
4/1/2019,720
5/1/2019,740
6/1/2019,840
7/1/2019,840
8/1/2019,790
9/1/2019,770
10/1/2019,770
11/1/2019,760
12/1/2019,740
1/1/2020,740
2/1/2020,740
3/1/2020,720
4/1/2020,600
